,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
62,LexisNexis Legal & Professional,3.9,10000+ Employees,Software Development,3.2T,85,242,30 office locations
63,Bajaj Allianz General Insurance Co,3.9,1001 to 5000 Employees,Insurance Carriers,673,674,11,"Headquarters in Pune, India"
64,Matrimony.com,4.7,1001 to 5000 Employees,Internet & Web Services,812,544,13,17 office locations
65,Home Credit India,3.6,10000+ Employees,Banking & Lending,717,724,84,"Headquarters in Gurgaon, India"
66,Fastenal,3.6,10000+ Employees,Shipping & Trucking,5T,80,1.1T,25 office locations
67,Weber Shandwick,3.6,1001 to 5000 Employees,Advertising & Public Relations,1.7T,168,30,25 office locations
68,Würth,3.7,51 to 200 Employees,Information Technology Support Services,1.7T,202,2.1T,"Headquarters in Künzelsau, Germany"
69,Sobha,3.6,1001 to 5000 Employees,Real Estate,730,607,3,3 office locations
70,EXL Service,3.7,10000+ Employees,Business Consulting,6.2T,5.8T,1.5T,33 office locations
71,Ford Motor Company,4.0,10000+ Employees,Transportation Equipment Manufacturing,14T,2T,2.6T,26 office locations
72,TEKsystems,3.8,1001 to 5000 Employees,HR Consulting,11.1T,2.2T,529,38 office locations
73,First Student,3.9,10000+ Employees,Taxi & Car Services,4.5T,8.3T,1.3T,26 office locations
74,AT&T,3.5,10000+ Employees,Telecommunications Services,41.2T,674,2.5T,25 office locations
75,Nagarro,4.0,10000+ Employees,Information Technology Support Services,5.1T,5.5T,801,52 office locations
76,Huawei Technologies,3.7,10000+ Employees,Telecommunications Services,15T,1.8T,7,28 office locations
77,BT Group,3.8,10000+ Employees,Telecommunications Services,9.7T,2.5T,351,33 office locations
78,Standard Chartered Bank,3.9,10000+ Employees,Banking & Lending,9.5T,3.6T,1.4T,"Headquarters in London, United Kingdom"
79,EPAM Systems,4.1,10000+ Employees,Information Technology Support Services,9.8T,2.1T,1.3T,91 office locations
80,GoTo,3.8,1001 to 5000 Employees,Software Development,1.3T,162,15,9 office locations
81,Coal India,3.7,10000+ Employees,Mining & Metals,696,667,9,"Headquarters in Calcutta, India"
82,DB Schenker,3.5,10000+ Employees,Shipping & Trucking,3T,102,1.8T,25 office locations
83,T-Systems,3.6,10000+ Employees,Information Technology Support Services,3.3T,810,185,27 office locations
84,AXA GO Business Operations,3.8,1001 to 5000 Employees,Insurance Carriers,714,623,--,3 office locations
85,Freudenberg Group,3.7,10000+ Employees,Machinery Manufacturing,1.2T,283,724,44 office locations
86,Daffodil Software,3.6,501 to 1000 Employees,Information Technology Support Services,559,518,13,3 office locations
87,Banco Bradesco,4.2,10000+ Employees,Banking & Lending,11.9T,44,301,25 office locations
88,None Such Farm,3.9,Unknown,Grocery Stores,568,589,--,"Headquarters in Buckingham, United States"
89,Future Focus Infotech,3.6,501 to 1000 Employees,Information Technology Support Services,862,530,--,"Hyderābād, TG"
90,Hella,4.0,10000+ Employees,Transportation Equipment Manufacturing,1.2T,285,710,39 office locations
91,Bandhan Bank,3.5,Unknown,Banking & Lending,627,797,4,"Headquarters in Calcutta, India"
92,Air India,3.9,10000+ Employees,"Airlines, Airports & Air Transportation",729,688,7,8 office locations
93,Self Employed Womens Association,4.3,501 to 1000 Employees,Membership Organisations,1.1T,296,--,"Headquarters in Ahmedabad, India"
94,Keyence,3.8,5001 to 10000 Employees,Machinery Manufacturing,1.5T,73,601,51 office locations
95,MAHLE International,3.9,10000+ Employees,Transportation Equipment Manufacturing,1.6T,169,414,25 office locations
96,State Street Global Advisors,3.6,1001 to 5000 Employees,Investment & Asset Management,996,306,765,14 office locations
97,Lexmark International,4.0,5001 to 10000 Employees,Computer Hardware Development,1.7T,196,236,11 office locations
98,IndiGo Airlines,3.7,1001 to 5000 Employees,N/A,600,758,88,"Headquarters in Gurgaon, India"
99,PHN Technology,4.5,1 to 50 Employees,N/A,1.2T,292,--,"Headquarters in Pune, India"
100,IGT,3.7,10000+ Employees,Gambling & Betting,2T,123,158,34 office locations
101,Northside Hospital,4.3,10000+ Employees,Healthcare Services & Hospitals,6.1T,92,4.5T,25 office locations
102,Dynatrace,4.2,1001 to 5000 Employees,Enterprise Software & Network Solutions,1.4T,213,174,22 office locations
103,Nykaa,3.6,1001 to 5000 Employees,Beauty & Wellness,525,749,3,"Headquarters in Mumbai, India"
104,Molex,3.7,10000+ Employees,Enterprise Software & Network Solutions,1.3T,202,394,23 office locations
105,FireEye,4.2,501 to 1000 Employees,Computer Hardware Development,1T,259,--,20 office locations
106,Gainsight,4.5,1001 to 5000 Employees,Enterprise Software & Network Solutions,570,401,6,8 office locations
107,Havells India,3.8,1001 to 5000 Employees,Electronics Manufacturing,667,686,--,"Headquarters in Noida, India"
108,Smith & Nephew,4.1,10000+ Employees,Health Care Products Manufacturing,2.4T,119,337,25 office locations
109,Tejas Networks,4.1,501 to 1000 Employees,Electronics Manufacturing,541,650,23,3 office locations
110,ZEISS Group,4.1,10000+ Employees,Electronics Manufacturing,1.4T,187,2T,12 office locations
111,PNC Financial Services Group,3.6,10000+ Employees,Banking & Lending,9.9T,52,2.1T,10 office locations
112,Yazaki,3.6,10000+ Employees,Transportation Equipment Manufacturing,1.9T,164,667,9 office locations
113,Holcim,3.8,10000+ Employees,Construction,2.4T,131,949,5 office locations
114,lululemon,4.2,10000+ Employees,"Department, Clothing & Shoe Stores",8.5T,31,1.3T,"Headquarters in Vancouver, Canada"
115,Mettler-Toledo,3.7,10000+ Employees,Electronics Manufacturing,1.2T,178,357,21 office locations
116,KEC International Ltd.,3.7,5001 to 10000 Employees,Electronics Manufacturing,659,635,1,3 office locations
117,Centre for Development of Advanced Computing,4.1,1001 to 5000 Employees,National Services & Agencies,677,662,--,"Headquarters in Pune, India"
118,Kaplan,3.6,10000+ Employees,Education Support & Training Services,2.5T,141,348,28 office locations
119,Kaseya,4.0,5001 to 10000 Employees,Information Technology Support Services,1.1T,202,141,9 office locations
120,VE Commercial Vehicles,3.8,1001 to 5000 Employees,Transportation Equipment Manufacturing,654,651,--,"Headquarters in Gurgaon, India"
121,West Technology Group,3.6,201 to 500 Employees,Enterprise Software & Network Solutions,2.9T,106,7,2 office locations
122,JCB,3.8,10000+ Employees,Machinery Manufacturing,862,363,97,7 office locations
123,Mylan Inc,3.7,10000+ Employees,Biotech & Pharmaceuticals,989,242,--,15 office locations
124,Kellton,3.6,1001 to 5000 Employees,Information Technology Support Services,712,531,33,13 office locations
125,US Tech Solutions,4.2,1001 to 5000 Employees,HR Consulting,737,342,65,17 office locations
126,Zydus Lifesciences,4.3,10000+ Employees,Biotech & Pharmaceuticals,744,612,--,2 office locations
127,The Sparks Foundation,3.9,51 to 200 Employees,N/A,1.2T,182,--,"Headquarters in Singapore, Singapore"
128,Dentsu,3.8,10000+ Employees,Advertising & Public Relations,1.3T,217,155,4 office locations
129,Oberoi Hotels & Resorts,4.1,5001 to 10000 Employees,Hotels & Resorts,707,596,4,"Headquarters in New Delhi, India"
130,Taj Group of Hotels,4.1,10000+ Employees,Hotels & Resorts,755,549,5,10 office locations
131,Speridian Technologies,3.6,1001 to 5000 Employees,Information Technology Support Services,467,355,51,18 office locations
132,Miracle Software Systems,3.6,1001 to 5000 Employees,Information Technology Support Services,560,276,379,3 office locations
133,Valtech,4.0,5001 to 10000 Employees,Information Technology Support Services,1T,239,1,37 office locations
134,Unknown Planner,3.9,1 to 50 Employees,Computer Hardware Development,780,228,3,"Chicago, IL"
135,Oracle Financial Group,3.8,Unknown,N/A,585,704,1,"Headquarters in Pikesville, United States"
136,Xavient,3.5,1001 to 5000 Employees,Information Technology Support Services,505,313,--,10 office locations
137,Capital Numbers,4.6,201 to 500 Employees,Information Technology Support Services,750,505,21,3 office locations
138,Zoom Video Communications,3.7,5001 to 10000 Employees,Information Technology Support Services,1.6T,122,186,9 office locations
139,Hughes Systique,4.2,1001 to 5000 Employees,Information Technology Support Services,547,485,--,5 office locations
140,myGate,3.6,501 to 1000 Employees,Software Development,693,636,9,9 office locations
141,Neudesic,3.9,501 to 1000 Employees,Information Technology Support Services,657,402,--,10 office locations
142,Rio Tinto,3.9,10000+ Employees,Mining & Metals,2.4T,100,201,23 office locations
143,Neeyamo Enterprise Solutions,3.6,1001 to 5000 Employees,HR Consulting,593,466,3,4 office locations
144,McCann Worldgroup,3.6,10000+ Employees,Advertising & Public Relations,1.7T,144,34,16 office locations
145,Sopra Banking Software,3.6,1001 to 5000 Employees,Software Development,675,368,53,38 office locations
146,Internshala,3.8,201 to 500 Employees,Education Support & Training Services,655,497,2,"B-610, Unitech Business Zone Golf Course Extension Road, Nirvana Country, South City II, Sector 50 "
147,Olam,3.7,10000+ Employees,Crop Production,1.2T,339,64,5 office locations
148,Warner Bros. Discovery,3.6,10000+ Employees,Film Production,3.9T,63,5.6T,8 office locations
149,CodeClouds,4.7,201 to 500 Employees,Information Technology Support Services,528,407,32,3 office locations
150,Emtec,4.0,501 to 1000 Employees,Enterprise Software & Network Solutions,395,312,15,7 office locations
151,PageGroup,4.1,5001 to 10000 Employees,HR Consulting,3T,71,105,27 office locations
152,Itron,3.9,5001 to 10000 Employees,Energy & Utilities,880,226,92,14 office locations
153,Lumina Datamatics,3.5,1001 to 5000 Employees,Publishing,707,563,18,6 office locations
