,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
539,MAERSK,4.1,10000+ Employees,Marine Transportation,6.1T,2.3T,1.3T,23 office locations
540,Narcotics Anonymous World Services,4.2,51 to 200 Employees,"Civic, Welfare & Social Services",508,281,5,"Headquarters in Van Nuys, United States"
541,People Prime Worldwide,4.3,51 to 200 Employees,N/A,416,291,--,"Chennai, TN"
542,Meltwater,3.7,1001 to 5000 Employees,Enterprise Software & Network Solutions,1.4T,79,26,43 office locations
543,Simform,4.3,501 to 1000 Employees,Information Technology Support Services,397,411,22,"Headquarters in Ahmedabad, India"
544,Talentica,4.1,201 to 500 Employees,Information Technology Support Services,390,446,166,"Pune, MH"
545,Elevance Health,3.6,10000+ Employees,Healthcare Services & Hospitals,5.6T,33,840,220 Virginia Ave 
546,Takeda Pharmaceuticals,4.0,10000+ Employees,Biotech & Pharmaceuticals,4.4T,41,1T,25 office locations
547,Playboy,4.0,51 to 200 Employees,Publishing,312,316,7,"Los Angeles, CA"
548,LearningMate Solutions,3.7,501 to 1000 Employees,Education Support & Training Services,460,410,--,3 office locations
549,AVASOFT,3.7,501 to 1000 Employees,Information Technology Support Services,241,224,9,4 office locations
550,Applications Software Technology,3.7,501 to 1000 Employees,Information Technology Support Services,285,119,8,4 office locations
551,Motilal Oswal Financial Services,3.5,10000+ Employees,Investment & Asset Management,433,526,--,"Headquarters in Mumbai, India"
552,BrightChamps,4.0,201 to 500 Employees,Education Support & Training Services,537,384,22,"Bengaluru, KA"
553,MilliporeSigma,3.8,10000+ Employees,Biotech & Pharmaceuticals,1.9T,51,71,17 office locations
554,Ergode Inc,3.8,501 to 1000 Employees,Information Technology Support Services,504,307,1,6 office locations
555,Anytime Fitness,3.6,51 to 200 Employees,Beauty & Wellness,1.9T,119,1.5T,25 office locations
556,Tecnotree,3.6,501 to 1000 Employees,Telecommunications Services,573,329,1,4 office locations
557,Ford India,4.4,5001 to 10000 Employees,Transportation Equipment Manufacturing,439,406,2.6T,"Headquarters in Kānchipuram, India"
558,Spinny,3.8,501 to 1000 Employees,Motor Vehicle Dealers,355,558,22,"Gurgaon, HR"
559,EPAM Anywhere,4.0,1001 to 5000 Employees,Information Technology Support Services,593,149,--,"Headquarters in Newtown, United States"
560,Holiday Inn,3.5,51 to 200 Employees,Hotels & Resorts,2.4T,68,1.7T,25 office locations
561,Digit Insurance,3.9,1001 to 5000 Employees,Insurance Carriers,372,414,7,"Headquarters in Bengaluru, India"
562,Mirafra Technologies,4.1,501 to 1000 Employees,Computer Hardware Development,422,356,43,4 office locations
563,Edifecs,4.1,1001 to 5000 Employees,Enterprise Software & Network Solutions,503,219,13,3 office locations
564,Databricks,4.4,5001 to 10000 Employees,Computer Hardware Development,1.1T,61,380,25 office locations
565,Crédit Agricole,3.8,5001 to 10000 Employees,Investment & Asset Management,4.4T,43,1.9T,33 office locations
566,noon,3.7,501 to 1000 Employees,N/A,778,206,3,"Headquarters in Dubai, United Arab Emirates"
567,Vardhan Consulting Engineers,4.3,1 to 50 Employees,Business Consulting,1T,64,--,"Headquarters in Danapur, India"
568,Darwinbox,4.0,1001 to 5000 Employees,Enterprise Software & Network Solutions,348,430,174,"3rd and 4th Floor, Skootr Forest, Block C, RMZ Futura Plot No. 14 and 15, Phase 2, HITEC City "
569,CIBC,3.9,10000+ Employees,Banking & Lending,9.6T,18,763,28 office locations
570,Coinbase,3.7,1001 to 5000 Employees,Internet & Web Services,889,91,131,6 office locations
571,Prudential,3.9,10000+ Employees,Investment & Asset Management,5.3T,24,293,28 office locations
572,"Discovery, Inc.",3.8,10000+ Employees,Broadcast Media,2.1T,58,--,13 office locations
573,Expeditors,3.6,10000+ Employees,Taxi & Car Services,2.3T,59,314,30 office locations
574,Affine,3.8,201 to 500 Employees,Business Consulting,392,405,--,3 office locations
575,SC Johnson,3.8,10000+ Employees,Consumer Product Manufacturing,1.8T,41,185,33 office locations
576,Anglo-Eastern Ship Management,3.7,201 to 500 Employees,Transportation Equipment Manufacturing,598,260,1,"Hong Kong, "
577,Cameron,3.5,10000+ Employees,Energy & Utilities,1.2T,94,12,27 office locations
578,Turner and Townsend,3.8,5001 to 10000 Employees,Business Consulting,1.5T,92,1.5T,19 office locations
579,Cencora,3.5,10000+ Employees,Biotech & Pharmaceuticals,2.2T,88,587,18 office locations
580,Redington Group,4.2,1001 to 5000 Employees,Computer Hardware Development,524,376,--,"Headquarters in Chennai, India"
581,Eze Software,3.8,1001 to 5000 Employees,Computer Hardware Development,590,142,1,12 office locations
582,Vanderlande Industries,3.9,5001 to 10000 Employees,Transportation Equipment Manufacturing,680,161,293,5 office locations
583,JW Marriott,3.9,501 to 1000 Employees,Hotels & Resorts,976,177,41,"Headquarters in Nashville, United States"
584,LendingKart,3.9,201 to 500 Employees,Banking & Lending,457,381,26,4 office locations
585,Essar,3.9,501 to 1000 Employees,Metal & Mineral Manufacturing,518,350,3,"11 KK Marg, Mahalaxmi "
586,ZTE,3.7,10000+ Employees,Electronics Manufacturing,1.2T,138,6,5 office locations
587,Alfa Laval,3.9,10000+ Employees,Machinery Manufacturing,735,172,449,9 office locations
588,Treebo Hotels,4.2,201 to 500 Employees,Hotels & Resorts,369,357,--,"Bengaluru, KA"
589,SBI Life Insurance,3.6,Unknown,Insurance Agencies & Brokerages,387,551,5,"Headquarters in Mumbai, India"
590,ZIM Integrated Shipping Services,4.3,1001 to 5000 Employees,Shipping & Trucking,1.4T,49,115,4 office locations
591,Indus Net Technologies,3.9,501 to 1000 Employees,Information Technology Support Services,462,351,28,"Calcutta, WB"
592,Rajesh Motors,3.8,201 to 500 Employees,Motor Vehicle Dealers,397,463,--,"Headquarters in Jaipur, India"
593,Vista,3.8,5001 to 10000 Employees,Internet & Web Services,1.1T,99,54,"Headquarters in Waltham, United States"
594,Tech Mahindra Business Services,3.7,Unknown,Information Technology Support Services,413,522,--,"Headquarters in Mumbai, India"
595,Visible Alpha,3.7,501 to 1000 Employees,Information Technology Support Services,323,353,7,5 office locations
596,Knoldus Software,3.8,201 to 500 Employees,Information Technology Support Services,381,304,16,3 office locations
597,Scaler Academy,4.0,51 to 200 Employees,Education Support & Training Services,601,805,15,"Headquarters in Bengaluru, India"
598,FLSmidth|FLSmidth S.A.,3.5,10000+ Employees,Metal & Mineral Manufacturing,637,182,137,8 office locations
599,Fresher Zones,3.9,1 to 50 Employees,N/A,151,895,--,"Headquarters in Noida, India"
600,Google Cloud,4.1,Unknown,Internet & Web Services,697,173,26,"Headquarters in Mountain View, United States"
601,ENGIE,3.9,10000+ Employees,Energy & Utilities,4.8T,44,2.8T,27 office locations
602,Zuora,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,687,150,37,8 office locations
603,Lava International,3.8,10000+ Employees,Electronics Manufacturing,492,378,--,Lava International Ltd. A-56 Sector 64 Noida  
604,ACKO General Insurance,3.8,1001 to 5000 Employees,Insurance Carriers,315,367,--,2 office locations
605,Zinnov Management Consulting,3.8,201 to 500 Employees,Business Consulting,362,507,10,8 office locations
606,Resource Solutions,4.2,501 to 1000 Employees,HR Consulting,779,48,95,7 office locations
607,KiwiTech,3.9,501 to 1000 Employees,Information Technology Support Services,407,349,3,3 office locations
608,Paras Hospital,4.8,1001 to 5000 Employees,Healthcare Services & Hospitals,659,299,63,"C-1, Sushant Lok- 1, Sector-43, Phase- I, Gurugram, Haryana (India) "
609,TrueBlue,3.8,5001 to 10000 Employees,HR Consulting,617,227,18,4 office locations
610,iEnergizer,4.6,10000+ Employees,Information Technology Support Services,5.2T,4.2T,10,"A-37, Block A, Sector 60, Noida, Uttar Pradesh. "
611,Northern Trust,3.8,10000+ Employees,Banking & Lending,5.4T,2.2T,619,30 office locations
612,GE HealthCare,4.3,5001 to 10000 Employees,Health Care Products Manufacturing,7.7T,1.6T,1.2T,25 office locations
613,Caterpillar,4.0,10000+ Employees,Machinery Manufacturing,8.3T,1.2T,694,34 office locations
614,Samsung R&D Institute India - Bangalore,3.7,1001 to 5000 Employees,Research & Development,3.9T,4.6T,4," #2870, Phoenix Building, 4th Floor Bagmane Constellation Business Park, Outer Ring Rd, Doddanekundi, Marathahalli "
615,Kantar,3.7,10000+ Employees,Research & Development,6T,2T,145,15 office locations
616,Thoughtworks,4.2,5001 to 10000 Employees,Information Technology Support Services,4.3T,2.4T,35,39 office locations
617,Nielsen,3.5,10000+ Employees,Enterprise Software & Network Solutions,9.1T,1.3T,200,47 office locations
618,DBS Bank,4.0,10000+ Employees,Banking & Lending,7.7T,1.5T,129,15 office locations
619,Texas Instruments,4.4,10000+ Employees,Electronics Manufacturing,5.7T,1.4T,137,25 office locations
620,Hinduja Tech,3.5,1001 to 5000 Employees,Information Technology Support Services,376,345,45,3 office locations
621,Medvarsity Online,3.9,201 to 500 Employees,Education Support & Training Services,188,137,6," MCH No. 8-2-120/86/2, Vamsiram Jyothi Arina, B.N.R Colony, Venkat Nagar, Road No.2, Banjara Hills,  Hyderabad, Telangana "
622,Future Generali,3.7,1001 to 5000 Employees,Insurance Carriers,444,401,3,3 office locations
623,Leap,4.4,1001 to 5000 Employees,Education Support & Training Services,406,397,32,HSR Layout 
624,Freecharge Payments Technologies Pvt Ltd,3.8,501 to 1000 Employees,Internet & Web Services,331,398,1,2 office locations
625,GE Appliances,3.9,10000+ Employees,Consumer Product Manufacturing,932,96,238,4 office locations
626,Indus Towers Limited,3.6,1001 to 5000 Employees,Telecommunications Services,466,417,2,7 office locations
627,Starwood Hotels & Resorts,3.9,10000+ Employees,Hotels & Resorts,2.2T,55,2,14 office locations
628,SHL Global,3.8,1001 to 5000 Employees,Information Technology Support Services,473,290,38,5 office locations
629,Fanatics,3.5,10000+ Employees,Internet & Web Services,1.2T,81,302,38 office locations
630,Verint,4.1,1001 to 5000 Employees,Enterprise Software & Network Solutions,1.2T,80,60,9 office locations
631,Dotsquares,3.8,201 to 500 Employees,Information Technology Support Services,491,447,30,"Headquarters in Jaipur, India"
632,Sterling and Wilson,4.0,1001 to 5000 Employees,Construction,466,383,9,"Headquarters in Mumbai, India"
633,Axxela Research & Analytics,4.0,51 to 200 Employees,Research & Development,242,320,--,"Headquarters in Mumbai, India"
634,GyanSys,3.6,1001 to 5000 Employees,Information Technology Support Services,385,278,--,2 office locations
635,National Informatics Centre,4.1,5001 to 10000 Employees,National Services & Agencies,539,410,1,"Headquarters in New Delhi, India"
636,Aurigo Software Technologies,4.7,501 to 1000 Employees,Software Development,611,228,22,3 office locations
637,Genpact India,3.8,Unknown,Information Technology Support Services,398,516,--,"Headquarters in Hyderābād, India"
638,Vinculum Solutions,3.9,201 to 500 Employees,Enterprise Software & Network Solutions,447,304,--,3 office locations
639,Wissen,3.8,1001 to 5000 Employees,Information Technology Support Services,325,451,3,4 office locations
640,The Hackett Group,3.9,1001 to 5000 Employees,Business Consulting,672,155,125,4 office locations
641,Vedanta Aluminium Limited,3.6,5001 to 10000 Employees,Metal & Mineral Manufacturing,498,504,--,"Headquarters in Mumbai, India"
642,Honda Motorcycle & Scooter India,3.9,1001 to 5000 Employees,Transportation Equipment Manufacturing,422,455,--,"Headquarters in Gurgaon, India"
643,Employer Flexible,4.2,51 to 200 Employees,Membership Organisations,309,451,7,"Houston, TX"
644,Tektronix,3.7,5001 to 10000 Employees,Electronics Manufacturing,644,163,401,13 office locations
645,Tricon Infotech,4.2,201 to 500 Employees,Information Technology Support Services,343,287,1,2 office locations
646,Glassdoor,4.2,501 to 1000 Employees,Internet & Web Services,1.1T,42,4,2 office locations
647,Cashfree,4.0,501 to 1000 Employees,Information Technology Support Services,398,371,24,"Headquarters in Bengaluru, India"
648,Ingersoll Rand,3.7,10000+ Employees,Machinery Manufacturing,848,158,387,"Headquarters in Davidson, United States"
649,Progressive Infotech,4.1,1001 to 5000 Employees,Information Technology Support Services,435,227,13,4 office locations
650,Ritz-Carlton,3.9,10000+ Employees,Hotels & Resorts,3T,48,107,7 office locations
651,foodpanda,3.7,5001 to 10000 Employees,Internet & Web Services,2.1T,38,118,12 office locations
652,Novel Office,4.6,51 to 200 Employees,Real Estate,307,198,3,2 office locations
653,Fiverr Inc.,4.4,501 to 1000 Employees,Internet & Web Services,2.9T,340,26,2 office locations
654,Proptiger,4.0,1001 to 5000 Employees,Real Estate,433,300,16,6 office locations
655,TBWA Worldwide,3.7,Unknown,Advertising & Public Relations,1.3T,82,49,6 office locations
656,1mg,3.5,51 to 200 Employees,N/A,329,488,35,"Gurgaon, HR"
657,Savantis,3.9,501 to 1000 Employees,Business Consulting,195,70,--,4 office locations
658,SymphonyAI,3.9,201 to 500 Employees,Enterprise Software & Network Solutions,483,233,97,3300 Hillview Ave 
659,QuisLex,4.3,501 to 1000 Employees,Legal,474,383,--,"Headquarters in New York, United States"
660,Petronas,4.3,10000+ Employees,Energy & Utilities,3.8T,34,6,2 office locations
661,Mobile Premier League,3.9,501 to 1000 Employees,Video Game Publishing,332,491,--,"Sakti Statesman, 6th Floor · Green Glen Layout, Bellandur · Bengaluru, Karnataka 560103 "
662,Imagination Technologies,3.6,1001 to 5000 Employees,Computer Hardware Development,566,129,20,16 office locations
663,Moog Inc.,4.3,10000+ Employees,Aerospace & Defence,1.2T,72,260,22 office locations
664,Tide,4.2,1001 to 5000 Employees,Internet & Web Services,374,198,53,5 office locations
665,Michael Page,3.8,5001 to 10000 Employees,N/A,1.1T,86,1.1T,"Headquarters in London, United Kingdom"
666,Arvind,3.7,10000+ Employees,N/A,416,403,24,"Headquarters in Ahmedabad, India"
667,Rupeek ,3.8,201 to 500 Employees,Internet & Web Services,374,422,--,"Bengaluru, KA"
668,Bajaj Electricals,3.8,1001 to 5000 Employees,Electronics Manufacturing,422,432,5,12 office locations
669,Hibu,4.0,1001 to 5000 Employees,Advertising & Public Relations,1.7T,55,214,"Headquarters in Cedar Rapids, United States"
670,Giant Eagle,3.5,10000+ Employees,Grocery Stores,3.2T,48,1.1T,"Headquarters in Pittsburgh, United States"
671,Impact Guru,3.6,1 to 50 Employees,Grantmaking & Charitable Foundations,356,478,7,"Mumbai, MH"
672,NYU (New York University),4.3,10000+ Employees,Colleges & Universities,5.9T,22,372,9 office locations
673,Enquero,4.0,501 to 1000 Employees,Enterprise Software & Network Solutions,375,338,1,5 office locations
674,WEG,4.3,1001 to 5000 Employees,Electronics Manufacturing,1.8T,74,224,15 office locations
675,BMO Financial Group,3.9,10000+ Employees,Investment & Asset Management,8.4T,22,584,29 office locations
676,Syncfusion,3.7,501 to 1000 Employees,Computer Hardware Development,411,321,--,2 office locations
677,Kalyani Group,3.6,5001 to 10000 Employees,Transportation Equipment Manufacturing,462,378,--,"Headquarters in Pune, India"
678,Hapag-Lloyd,3.8,5001 to 10000 Employees,Shipping & Trucking,853,161,1,6 office locations
679,LogicMonitor,3.6,1001 to 5000 Employees,Enterprise Software & Network Solutions,553,129,66,10 office locations
680,Havas Media,3.7,5001 to 10000 Employees,Advertising & Public Relations,1.7T,71,16,11 office locations
681,Client Network Services,3.9,1001 to 5000 Employees,Information Technology Support Services,379,182,9,8 office locations
682,Savills,3.8,10000+ Employees,Real Estate,1.6T,66,363,7 office locations
683,Outlook,3.5,201 to 500 Employees,Publishing,608,206,--,"Headquarters in New Delhi, India"
684,Teaching Personnel,4.2,201 to 500 Employees,HR Consulting,492,242,152,34 office locations
685,IG Group,3.7,1001 to 5000 Employees,Investment & Asset Management,664,135,10,27 office locations
686,AVL,3.9,10000+ Employees,Transportation Equipment Manufacturing,815,129,515,8 office locations
687,Ather Energy,4.2,1001 to 5000 Employees,Electronics Manufacturing,282,365,4,2 office locations
688,Legrand,3.6,10000+ Employees,Electronics Manufacturing,1T,106,328,15 office locations
689,Louis Dreyfus Company,4.1,10000+ Employees,Crop Production,1.5T,84,334,5 office locations
690,YBI Foundation,4.8,1 to 50 Employees,Education Support & Training Services,781,73,--,C 176B Lane No 38 
691,VeeTechnologies,3.7,1001 to 5000 Employees,Healthcare Services & Hospitals,369,321,5,9 office locations
692,Xactly Corp.,3.7,501 to 1000 Employees,Software Development,596,135,21,5 office locations
693,Jindal Stainless,3.7,1001 to 5000 Employees,Metal & Mineral Manufacturing,388,376,--,"Headquarters in New Delhi, India"
694,Disney | Star,4.0,1001 to 5000 Employees,Broadcast Media,361,379,3,6 office locations
695,Sulzer,3.8,10000+ Employees,Machinery Manufacturing,843,163,272,11 office locations
696,MediaMint,3.9,501 to 1000 Employees,Information Technology Support Services,375,387,8,"Headquarters in Hyderābād, India"
697,onsemi,3.6,10000+ Employees,Electronics Manufacturing,1.5T,62,295,14 office locations
698,PerkinElmer,3.5,5001 to 10000 Employees,Biotech & Pharmaceuticals,1.2T,77,210,26 office locations
699,ABC Consultants,4.1,201 to 500 Employees,HR Consulting,418,343,--,7 office locations
700,Xcelserv,4.9,501 to 1000 Employees,N/A,688,269,--,"Headquarters in Las Vegas, United States"
701,XXXX Brewery,3.9,Unknown,N/A,422,228,--,"Headquarters in Milton, Australia"
702,JLT Group,3.7,5001 to 10000 Employees,Insurance Agencies & Brokerages,543,183,--,3 office locations
703,Allegion,4.2,10000+ Employees,Consumer Product Manufacturing,680,168,259,13 office locations
704,Johnson Matthey,3.6,10000+ Employees,Chemical Manufacturing,1.2T,76,187,25 office locations
705,Vaco Binary Semantics,3.6,5001 to 10000 Employees,Business Consulting,411,423,--,2 office locations
706,Softenger,3.9,501 to 1000 Employees,Information Technology Support Services,542,281,34,4 office locations
707,CAE,3.8,10000+ Employees,Aerospace & Defence,1.9T,68,617,20 office locations
708,Co-op,3.7,10000+ Employees,Grocery Stores,5T,40,345,1 Angel Square 
709,Global Payments,3.5,10000+ Employees,Financial Transaction Processing,1.2T,91,690,16 office locations
710,GAO Tek,3.7,501 to 1000 Employees,HR Consulting,1.2T,40,2,"244 Fifth Avenue, Suite A31 "
711,Omnicom Media Group,3.6,1001 to 5000 Employees,Advertising & Public Relations,1T,113,16,4 office locations
712,Successive Technologies,4.1,201 to 500 Employees,Information Technology Support Services,449,304,--,7 office locations
713,Stripe,3.5,1001 to 5000 Employees,Internet & Web Services,873,42,10,3 office locations
714,Amazon Lab126,3.7,1001 to 5000 Employees,Consumer Product Manufacturing,819,106,14.5T,8 office locations
715,Brainvire Infotech,4.0,501 to 1000 Employees,Information Technology Support Services,259,218,49,3 office locations
716,FCB Global,3.9,1001 to 5000 Employees,Advertising & Public Relations,1.1T,68,12,10 office locations
717,Servion Global Solutions,3.8,1001 to 5000 Employees,Information Technology Support Services,439,304,58,7 office locations
718,Veolia,3.9,10000+ Employees,Energy & Utilities,3.8T,35,3.7T,34 office locations
719,Thrillophilia,4.0,501 to 1000 Employees,Internet & Web Services,404,347,19,"Jaipur, RJ"
720,Information Services Group,4.1,1001 to 5000 Employees,Enterprise Software & Network Solutions,447,191,7,19 office locations
721,C.H. Robinson,3.5,10000+ Employees,Shipping & Trucking,3.4T,39,211,25 office locations
722,Unschool,3.7,51 to 200 Employees,Education Support & Training Services,469,217,--,"Headquarters in Hyderābād, India"
723,National Income Life,4.0,51 to 200 Employees,Insurance Agencies & Brokerages,584,272,--,7 office locations
724,Delta Electronics,3.6,10000+ Employees,Electronics Manufacturing,652,182,78,4 office locations
725,GAIL,4.4,1001 to 5000 Employees,Energy & Utilities,371,356,--,"Headquarters in New Delhi, India"
726,Draup,4.0,201 to 500 Employees,Software Development,345,448,2,2 office locations
727,L3Harris,4.1,10000+ Employees,Aerospace & Defence,4.4T,25,1.5T,"Headquarters in Melbourne, United States"
728,Strategy&,4.1,1001 to 5000 Employees,Business Consulting,1.4T,76,63,8 office locations
729,Turing,3.9,501 to 1000 Employees,Software Development,616,172,365,1900 Embarcadero Road 
730,Karma Ayurveda,4.2,1 to 50 Employees,N/A,190,701,4,"Headquarters in New Delhi, India"
731,Saksoft,3.6,1001 to 5000 Employees,Computer Hardware Development,411,281,54,"Jersey City, NJ"
732,Go Speedy Go,4.0,5001 to 10000 Employees,Consumer Product Hire,463,145,4,"Headquarters in Bhubaneshwar, India"
733,Ecom Express,3.8,10000+ Employees,Shipping & Trucking,380,465,15,"Headquarters in New Delhi, India"
734,Larsen and toubro e engineering solutions,3.7,10000+ Employees,Architectural & Engineering Services,398,447,2,"Headquarters in Mumbai, India"
735,AON,3.9,Unknown,Nursing & Residential Care Facilities,592,146,18,"Peterborough, ON"
736,CG Power and Industrial Solutions,3.9,5001 to 10000 Employees,Electronics Manufacturing,457,332,--,"Headquarters in Mumbai, India"
737,Voltas,3.7,5001 to 10000 Employees,Architectural & Engineering Services,434,350,1,"Headquarters in Mumbai, India"
738,Larsen and Toubro,3.8,10000+ Employees,N/A,370,434,--,"Headquarters in Kuala Lumpur, Malaysia"
739,National Stock Exchange of India,3.8,1001 to 5000 Employees,Stock Exchanges,397,431,--,"Headquarters in Mumbai, India"
740,GirnarSoft,4.0,1001 to 5000 Employees,Computer Hardware Development,394,402,--,3 office locations
741,Silicon Labs,4.2,1001 to 5000 Employees,Electronics Manufacturing,563,114,76,6 office locations
742,Biz2Credit,4.3,501 to 1000 Employees,Banking & Lending,456,224,6,3 office locations
743,magicpin,3.7,501 to 1000 Employees,Internet & Web Services,432,345,--,2 office locations
744,NICE Actimize,4.2,5001 to 10000 Employees,Enterprise Software & Network Solutions,453,170,353,6 office locations
745,Deliveroo,3.6,1001 to 5000 Employees,Internet & Web Services,3.1T,28,530,24 office locations
746,Vinove Software & Services,3.8,501 to 1000 Employees,Information Technology Support Services,302,148,53,2 office locations
747,LocaliQ,3.5,Unknown,Advertising & Public Relations,600,166,31,"Headquarters in McLean, United States"
748,Sartorius,3.6,10000+ Employees,Biotech & Pharmaceuticals,737,127,215,86 office locations
749,Unthinkable,3.8,51 to 200 Employees,Information Technology Support Services,293,387,7,"Headquarters in Gurgaon, India"
750,HM Revenue and Customs,3.7,10000+ Employees,National Services & Agencies,2.4T,25,44,24 office locations
751,Awign Enterprises,4.3,201 to 500 Employees,Internet & Web Services,401,284,8,"#2, 91Springboard, 3rd Floor,, Padmavati Complex, 80 Feet Road, Opposite NGV Indoor Stadium, Koramangala 8th Block, Bengaluru, Karnataka  "
752,World Wildlife Fund,3.7,1001 to 5000 Employees,"Civic, Welfare & Social Services",1T,99,289,5 office locations
753,Grey Group,3.6,5001 to 10000 Employees,Advertising & Public Relations,1.1T,115,3,"200 Fifth Ave,  "
754,NBCUniversal,4.0,10000+ Employees,Broadcast Media,6.3T,14,100,15 office locations
755,Primark,3.5,10000+ Employees,"Department, Clothing & Shoe Stores",11.6T,19,475,"Headquarters in Dublin, Ireland"
756,AFCONS Infrastructure,4.0,1001 to 5000 Employees,Construction,407,379,--,"Headquarters in Mumbai, India"
757,Sony Electronics,4.0,10000+ Employees,Consumer Product Manufacturing,1.3T,74,362,15 office locations
758,TAFE,3.7,501 to 1000 Employees,Machinery Manufacturing,483,463,--,"Headquarters in Chennai, India"
759,Inditex,3.6,10000+ Employees,"Department, Clothing & Shoe Stores",2.4T,45,156,"Headquarters in A Coruña, Spain"
760,HDFC ERGO General Insurance company,3.9,10000+ Employees,Insurance Carriers,364,423,--,"6Th Floor, Leela Business Park, Andheri Kurla Road, Andheri (E), Bori Colony, Vijay Nagar Colony West, Marol, Andheri East "
761,Atos,3.9,201 to 500 Employees,Electronics Manufacturing,521,215,--,"Headquarters in Sesto Calende, Italy"
762,Brose,3.8,10000+ Employees,Transportation Equipment Manufacturing,985,95,340,18 office locations
763,Apptio,4.0,1001 to 5000 Employees,Enterprise Software & Network Solutions,555,144,27,4 office locations
764,Owens Corning,3.8,10000+ Employees,Consumer Product Manufacturing,1.1T,74,198,25 office locations
765,TDCX,4.1,10000+ Employees,HR Consulting,4.1T,11,569,21 office locations
766,CrimsonLogic,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,654,154,13,22 office locations
767,Pulsus Group,4.0,Unknown,Publishing,558,330,40,"Headquarters in Oakville, Canada"
768,IFF,3.7,10000+ Employees,Chemical Manufacturing,1.3T,76,448,23 office locations
769,Sage,3.6,1001 to 5000 Employees,Publishing,547,160,1,2 office locations
770,Sheraton,3.8,1001 to 5000 Employees,Hotels & Resorts,2.2T,56,819,15 office locations
771,Springworks,4.4,201 to 500 Employees,Internet & Web Services,404,304,--,"Headquarters in Los Angeles, United States"
772,Deltax,3.8,1 to 50 Employees,Business Consulting,180,276,--,"Headquarters in Bengaluru, India"
773,M·A·C Cosmetics,3.5,1001 to 5000 Employees,Consumer Product Manufacturing,3T,39,3,8 office locations
774,MRM,3.7,1001 to 5000 Employees,Advertising & Public Relations,1.4T,73,34,19 office locations
775,ANR Software,4.6,201 to 500 Employees,Information Technology Support Services,331,254,12,"B - 103/104, Sector  - 63 "
776,Britannia Industries Limited,3.9,1001 to 5000 Employees,Food & Beverage Manufacturing,415,363,--,"Headquarters in Bengaluru, India"
777,Paisabazaar.com,4.1,1001 to 5000 Employees,Financial Transaction Processing,485,316,--,2 office locations
778,National University of Singapore,4.0,10000+ Employees,Colleges & Universities,5T,10,928,6 office locations
779,Forbes Marshall,3.8,1001 to 5000 Employees,Machinery Manufacturing,420,312,--,"Headquarters in Pune, India"
780,ESDS Software Solution,3.9,1001 to 5000 Employees,Information Technology Support Services,385,377,13,3 office locations
781,Chandigarh University,4.3,501 to 1000 Employees,Colleges & Universities,925,772,220,4 office locations
782,GoMechanic,3.9,501 to 1000 Employees,Parking & Valet,387,358,--,22 office locations
783,Givaudan,3.8,10000+ Employees,Chemical Manufacturing,1.6T,48,345,24 office locations
784,Adani Power,3.8,1001 to 5000 Employees,Energy & Utilities,391,388,--,"Headquarters in Ahmedabad, India"
785,Intas Pharmaceuticals,4.0,1 to 50 Employees,Biotech & Pharmaceuticals,411,413,--,"Headquarters in Durham, United States"
786,Bosch Rexroth,4.1,10000+ Employees,Electronics Manufacturing,981,80,9,21 office locations
787,doodleblue Innovations,4.5,201 to 500 Employees,Information Technology Support Services,437,266,--,"6/1, Sathak Centre, 2nd Floor Pycrofts Garden Road  "
788,Aranca,4.0,201 to 500 Employees,Business Consulting,365,346,24,2 office locations
789,Charles Schwab,3.8,10000+ Employees,Investment & Asset Management,6.8T,16,130,24 office locations
790,Tata Motors,4.1,10000+ Employees,Transportation Equipment Manufacturing,4.1T,4.1T,1,"Coventry, ENG"
791,Expedia Group,3.9,10000+ Employees,Internet & Web Services,7.2T,1.2T,297,31 office locations
792,ServiceNow,4.4,10000+ Employees,Enterprise Software & Network Solutions,4.5T,1.2T,2.5T,22 office locations
793,LTIMindtree,3.5,10000+ Employees,Information Technology Support Services,3.4T,4.5T,146,"N M Marg, Ballard Estate "
794,Continental,4.1,5001 to 10000 Employees,Transportation Equipment Manufacturing,8.8T,1.3T,3.4T,38 office locations
795,FactSet,4.0,10000+ Employees,Investment & Asset Management,4.2T,1.8T,75,17 office locations
796,Allianz,4.0,10000+ Employees,Investment & Asset Management,8.7T,1.3T,1.1T,34 office locations
797,NCR,3.5,10000+ Employees,Enterprise Software & Network Solutions,7.7T,1.5T,1.3T,34 office locations
798,Decathlon,3.9,10000+ Employees,Sporting Goods Stores,8.7T,1.3T,2T,9 office locations
799,Abbott,3.8,10000+ Employees,Healthcare Services & Hospitals,10.4T,969,2.3T,34 office locations
800,Sigmoid,4.0,501 to 1000 Employees,Information Technology Support Services,279,317,23,3 office locations
801,Optimum Solutions,4.0,1001 to 5000 Employees,Information Technology Support Services,617,172,168,2 office locations
802,Credit Lyonnais Securities Asia,3.6,1001 to 5000 Employees,Investment & Asset Management,571,157,5,"Headquarters in Hong Kong, Hong Kong"
803,Falabella,4.1,10000+ Employees,"Department, Clothing & Shoe Stores",986,109,555,"Headquarters in Santiago, Chile"
804,MediaCom,3.6,5001 to 10000 Employees,Advertising & Public Relations,1.8T,61,223,10 office locations
